,Model,Colour,Memory,RAM,mAH of Battery,Rear Camera(In MP),Front Camera(In MP),Processor in Phone,Price of Phone,Camera quality index (Front + Rear specs in MP),Phone storage(RAM +ROM in GB)
0,Infinix SMART 7,Night Black,64,4,6000,13,5,Unisoc Spreadtrum SC9863A1,7299.0,5+13,4+64
1,Infinix SMART 7,Azure Blue,64,4,6000,13,5,Unisoc Spreadtrum SC9863A1,7299.0,5+13,4+64
2,MOTOROLA G32,Mineral Gray,128,8,5000,50,16,Qualcomm Snapdragon 680,11999.0,16+50,8+128
3,POCO C50,Royal Blue,32,2,5000,8,5,Mediatek Helio A22,5649.0,5+8,2+32
4,Infinix HOT 30i,Marigold,128,8,5000,50,5,G37,8999.0,5+50,8+128
5,Infinix HOT 30i,Glacier Blue,128,8,5000,50,5,G37,8999.0,5+50,8+128
6,Infinix HOT 30i,Mirror Black,128,8,5000,50,5,G37,8999.0,5+50,8+128
7,Infinix HOT 30i,Diamond White,128,8,5000,50,5,G37,8999.0,5+50,8+128
8,Infinix HOT 30i,Diamond White,64,4,5000,50,5,G37,7999.0,5+50,4+64
9,Infinix HOT 30i,Mirror Black,64,4,5000,50,5,G37,7999.0,5+50,4+64
10,REDMI 10,Shadow Black,64,4,6000,50,5,Qualcomm Snapdragon 680,9499.0,5+50,4+64
11,Infinix HOT 30i,Glacier Blue,64,4,5000,50,5,G37,7999.0,5+50,4+64
12,Infinix SMART 7,Emerald Green,64,4,6000,13,5,Unisoc Spreadtrum SC9863A1,7299.0,5+13,4+64
13,SAMSUNG Galaxy F13,Waterfall Blue,128,4,6000,50,8,Exynos 850,10699.0,8+50,4+128
14,SAMSUNG Galaxy F04,Opal Green,64,4,5000,13,5,Mediatek Helio P35,7299.0,5+13,4+64
15,POCO C51,Royal Blue,64,4,5000,8,5,Helio G36,6999.0,5+8,4+64
16,Infinix HOT 30i,Marigold,64,4,5000,50,5,G37,7999.0,5+50,4+64
17,POCO C51,Power Black,64,4,5000,8,5,Helio G36,6999.0,5+8,4+64
18,POCO C50,Country Green,32,2,5000,8,5,Mediatek Helio A22,5649.0,5+8,2+32
19,MOTOROLA e13,Cosmic Black,64,4,5000,13,5,Unisoc T606,7299.0,5+13,4+64
20,vivo T2x 5G,Aurora Gold,128,8,5000,50,8,Dimensity 6020,15999.0,8+50,8+128
21,vivo T2x 5G,Marine Blue,128,8,5000,50,8,Dimensity 6020,15999.0,8+50,8+128
22,vivo T2x 5G,Glimmer Black,128,8,5000,50,8,Dimensity 6020,15999.0,8+50,8+128
23,vivo T2x 5G,Marine Blue,128,6,5000,50,8,Dimensity 6020,13999.0,8+50,6+128
